"","File","T_mean","T_low10","DO_mean","DO_low10","pH_mean","pH_low10","OBJECTID","NAME","Area_sq_mi","Type","SHORTNAME","degx","degy","region","T_seasonalSD","pH_seasonalSD","DO_seasonalSD","T_eventSD","pH_eventSD","DO_eventSD","unsat_days","numdays.x","prcnt_unsat","hypo_days","numdays.y","prcnt_hypo"
"14","tphdo_mpa_110",12.7307961165049,10.83,6.53423167108887,4.13424496,7.53211849639034,7.323,110,"Southwest Seal Rock Special Closure",0.022344816,"Special Closure","Southwest Seal Rock",-124.35195,41.81366,"norca",0.678475163927187,0.133345651470037,44.5192240096163,1.31995833032404,0.0867367223569599,29.7014407290668,3864,4017,96.1911874533234,668,4017,16.6293253671894
"15","tphdo_mpa_111",12.8772656211103,10.59,5.84455923255962,3.23827856,7.47442419716206,7.269,111,"Steamboat Rock Special Closure",0.01789157,"Special Closure","Steamboat Rock",-124.40406,40.41533,"norca",0.935598490048535,0.132669885009986,45.0227043358385,1.49375381170133,0.108577033398689,41.8630019301482,3872,4017,96.3903410505352,1330,4017,33.10928553647
"16","tphdo_mpa_112",13.6735352252925,11.3,5.9662920833886,3.537787328,7.48083868558626,7.288,112,"Stewarts Point SMCA",1.213275643,"SMCA","Stewarts Point",-123.39402,38.63467,"norca",1.11682775740032,0.10807829442795,37.93172645401,1.49220695555007,0.101918760701541,38.0107171418018,3991,4017,99.3527508090615,1030,4017,25.6410256410256
"17","tphdo_mpa_113",13.6869001742594,11.39,6.10423033097336,3.95825156,7.49117052526761,7.312,113,"Stewarts Point SMR",24.03212876,"SMR","Stewarts Point",-123.43201,38.63444,"norca",1.08724258825326,0.104460979580995,35.8262944766978,1.45207228229647,0.0918485588267616,32.0772318367679,3999,4017,99.5519044062733,852,4017,21.209858103062
"18","tphdo_mpa_114",12.920430420712,10.706,5.94026416228529,3.44307088,7.48115434403784,7.2766,114,"Sugarloaf Island Special Closure",0.03248719,"Special Closure","Sugarloaf Island",-124.41384,40.43871,"norca",0.908424167965397,0.137204765796792,46.3483525678515,1.45057163062038,0.0997933268717012,37.1092120664589,3909,4017,97.31142643764,1209,4017,30.0970873786408
"19","tphdo_mpa_115",18.6211774956435,16.3,7.98356597721683,7.60611476,7.68616579536968,7.642,115,"Swami's SMCA",12.7079404,"SMCA","Swami's",-117.3199,33.02394,"socal",1.54928541530803,0.017563766066648,5.99394770602826,1.23105810888694,0.032701510812608,8.20680714825688,3989,4017,99.3029624097585,0,4017,0
"20","tphdo_mpa_116",13.4506599452328,11.18,6.13130241506,3.78225816,7.49418745332338,7.305,116,"Ten Mile Beach SMCA",3.538836264,"SMCA","Ten Mile Beach",-123.80446,39.54846,"norca",0.980042032643389,0.101451890315747,33.8384665511902,1.46187563481246,0.105601898979913,39.3255626879403,3982,4017,99.1287030121982,863,4017,21.4836942992283
"21","tphdo_mpa_117",13.4447523027135,11.27,6.16984499754045,4.01904928,7.49680433159074,7.317,117,"Ten Mile SMR",11.9478486,"SMR","Ten Mile",-123.8132,39.57645,"norca",0.960125719760375,0.103682393926138,34.5669958802493,1.42106298138029,0.094896346820223,34.1092796062794,3991,4017,99.3527508090615,776,4017,19.3178989295494
"22","tphdo_mpa_118",13.345216081653,11.08,5.88542951465372,3.61266452,7.47573039581777,7.295,118,"Van Damme SMCA",0.056664627,"SMCA","Van Damme",-123.7926,39.27213,"norca",1.02138766784469,0.105669310746341,36.2645861651446,1.46469670935281,0.101817065688842,38.3503177519811,3988,4017,99.278068210107,1066,4017,26.537216828479
"23","tphdo_mpa_119",16.1447672392333,13.68,7.21631488961912,6.024094088,7.59707617625093,7.47,119,"Vandenberg SMR",32.90693926,"SMR","Vandenberg",-120.64231,34.66338,"socal",1.25321721012162,0.0462660492650347,13.9247200196942,1.45415515831649,0.0734129591023328,21.229815682723,4013,4017,99.9004232013941,15,4017,0.373412994772218
"24","tphdo_mpa_12",15.4171496141399,13.05,6.9482419753418,5.393717728,7.5694353995519,7.419,12,"Big Creek SMR",14.51410176,"SMR","Big Creek",-121.63611,36.07068,"centralca",1.16899354816481,0.0639086453564432,19.7956450448668,1.40431076907284,0.0843417160461014,26.0740499065653,4011,4017,99.8506348020911,110,4017,2.73836196166293
"25","tphdo_mpa_120",13.3923136669156,11.176,6.09214901157282,3.681781928,7.49130047298979,7.297,120,"Vizcaino Rock Special Closure",0.022096704,"Special Closure","Vizcaino Rock",-123.83278,39.72705,"norca",0.955775175677336,0.105195075958692,35.2074732993265,1.45793834219583,0.108261236134266,40.8368102524051,3950,4017,98.3320886233508,938,4017,23.3507592730894
"26","tphdo_mpa_121",15.800853871048,13.426,7.07514250890017,5.662507648,7.58477918844909,7.4456,121,"White Rock SMCA",2.910766677,"SMCA","White Rock",-121.08591,35.52566,"centralca",1.24369243894256,0.0553485261444885,17.7820574663344,1.3657327798528,0.0766465560732565,24.2207731247724,4011,4017,99.8506348020911,73,4017,1.81727657455813
"27","tphdo_mpa_13",13.0985347274085,10.866,5.99090383653971,3.752179288,7.48267064973861,7.299,13,"Big Flat SMCA",11.58751591,"SMCA","Big Flat",-124.24548,40.14136,"norca",0.947447657965535,0.118779550505148,39.6588798282396,1.43085216164738,0.0940982636515021,34.4003573525752,3973,4017,98.9046552153348,1011,4017,25.1680358476475
"28","tphdo_mpa_14",18.7921359223301,16.406,7.8719517411999,7.6317138,7.70034030370924,7.671,14,"Blue Cavern Offshore SMCA",7.695296526,"SMCA","Blue Cavern Offshore",-118.47003,33.48372,"channel",1.71474170600956,0.0112127858778237,3.08844619949097,0.945342570999801,0.0232278188286351,5.49274747556693,3967,4017,98.7552900174259,0,4017,0
"29","tphdo_mpa_15",18.8442494398805,16.446,7.87196209679861,7.62851392,7.70137988548668,7.672,15,"Blue Cavern Onshore SMCA (No-Take)",2.614145889,"SMCA (No-Take)","Blue Cavern Onshore",-118.46626,33.44907,"channel",1.7342732979805,0.0116712069097238,3.05914382753409,0.943674571866187,0.0241577103412227,5.85016658252386,3954,4017,98.4316654219567,0,4017,0
"30","tphdo_mpa_16",14.1173651979089,11.786,6.36977185897635,4.32303788,7.51464202140901,7.338,16,"Bodega Head SMCA",12.31398794,"SMCA","Bodega Head",-123.0863,38.27363,"norca",1.12140198472953,0.0993861932177832,33.8123770099399,1.4372494631955,0.0896914025169909,30.5930376362501,3966,4017,98.7303958177745,595,4017,14.8120487926313
"31","tphdo_mpa_17",14.0910928553647,11.77,6.30829863530695,4.187362968,7.50881752551655,7.328,17,"Bodega Head SMR",9.341407371,"SMR","Bodega Head",-123.10512,38.31737,"norca",1.11316537222986,0.103158831183458,35.2326344317899,1.44087532427749,0.091757921648604,31.7221169847607,3955,4017,98.4565596216082,701,4017,17.4508339556883
